centrality v2{2} stat-err sys-err
0.5 0.0159069 0.00017739 0.000954411
1.5 0.0170571 0.000161155 0.00102342
2.5 0.018722 0.000148603 0.00112332
3.5 0.0204157 0.000138851 0.00122494
4.5 0.0221273 0.000131028 0.00132764
5.5 0.0239473 0.000123186 0.00143684
6.5 0.025767 0.000116287 0.00154602
7.5 0.0275952 0.000110416 0.00165571
8.5 0.0293476 0.000105539 0.00176086
9.5 0.0311417 0.000101141 0.0018685
10.5 0.0326747 9.80887e-05 0.00196048
11.5 0.0343537 9.48821e-05 0.00206122
12.5 0.0358943 9.24521e-05 0.00215366
13.5 0.0373732 9.04646e-05 0.00224239
14.5 0.0388136 8.87049e-05 0.00232882
15.5 0.040171 8.73743e-05 0.00241026
16.5 0.0415221 8.61215e-05 0.00249133
17.5 0.042839 8.49947e-05 0.00257034
18.5 0.0440435 8.43914e-05 0.00264261
19.5 0.0452139 8.37926e-05 0.00271283
20.5 0.0462662 8.35695e-05 0.00277597
21.5 0.0474033 8.33017e-05 0.0028442
22.5 0.0484372 8.32135e-05 0.00290623
23.5 0.0494978 8.30415e-05 0.00296987
24.5 0.0503338 8.34428e-05 0.00302003
25.5 0.051179 8.38967e-05 0.00307074
26.5 0.0519695 8.43609e-05 0.00311817
27.5 0.0527669 8.48697e-05 0.00316602
28.5 0.0535506 8.55145e-05 0.00321304
29.5 0.0541693 8.64551e-05 0.00325016
30.5 0.0548265 8.74255e-05 0.00328959
31.5 0.0553487 8.86334e-05 0.00332092
32.5 0.0560557 8.95863e-05 0.00336334
33.5 0.0563833 9.13258e-05 0.003383
34.5 0.0568096 9.2861e-05 0.00340858
35.5 0.0571984 9.45833e-05 0.00343191
36.5 0.0576245 9.62449e-05 0.00345747
37.5 0.0578142 9.84992e-05 0.00346885
38.5 0.058096 0.000100615 0.00348576
39.5 0.0582532 0.000103124 0.00349519
40.5 0.0584563 0.000105819 0.00350738
41.5 0.0584424 0.000108891 0.00350654
42.5 0.0585483 0.000111812 0.0035129
43.5 0.0586058 0.000115272 0.00351635
44.5 0.0584381 0.000119206 0.00350629
45.5 0.0583473 0.000123201 0.00350084
46.5 0.0582566 0.000127669 0.0034954
47.5 0.0580522 0.000132253 0.00348313
48.5 0.0576943 0.000138062 0.00346166
49.5 0.0574776 0.000143623 0.00344866
50.5 0.0571835 0.000149898 0.00343101
51.5 0.0566522 0.00015735 0.00339913
52.5 0.0562216 0.00016492 0.0033733
53.5 0.0556737 0.000173706 0.00334042
54.5 0.0551044 0.000183564 0.00330627
55.5 0.0544917 0.000193662 0.0032695
56.5 0.0540519 0.000204754 0.00324311
57.5 0.0534244 0.000217452 0.00320546
58.5 0.0525748 0.000232529 0.00315449
59.5 0.051917 0.000247322 0.00311502
60.5 0.0513797 0.000263928 0.00308278
61.5 0.0504141 0.000284957 0.00302485
62.5 0.0493404 0.000307769 0.00296042
63.5 0.0487111 0.000331734 0.00292267
64.5 0.0479415 0.000358817 0.00287649
65.5 0.0467332 0.000391746 0.00280399
66.5 0.0458026 0.000427754 0.00274815
67.5 0.0450283 0.000467348 0.0027017
68.5 0.0438747 0.000512493 0.00263248
69.5 0.0432126 0.000560462 0.00259276
70.5 0.0421971 0.000621729 0.00253182
71.5 0.0410129 0.000688895 0.00246077
72.5 0.0403324 0.000753557 0.00241995
73.5 0.0387483 0.000855712 0.0023249
74.5 0.0377832 0.000956813 0.00226699
75.5 0.0368596 0.00107441 0.00221158
76.5 0.0353083 0.00121333 0.0021185
77.5 0.0341224 0.00137844 0.00204734
78.5 0.03314 0.00156493 0.0019884
79.5 0.032147 0.00178118 0.00192882
80.5 0.0300261 0.0021298 0.00180156
81.5 0.0298299 0.00238551 0.0017898
82.5 0.0294069 0.0026559 0.00176441
83.5 0.0281596 0.00304814 0.00168958
84.5 0.0296162 0.00323428 0.00177697
85.5 0.0275618 0.00394671 0.00165371
86.5 0.030634 0.00405261 0.00183804
87.5 0.0274008 0.00512891 0.00164405
88.5 0.0305059 0.00556557 0.00183035
89.5 0.0306046 0.00654812 0.00183628
90.5 0.0322075 0.0080491 0.00193245
91.5 0.0343628 0.0102895 0.00206177
