centrality v2{2} stat-err sys-err
45.5 0.0583473 0.000123201 0.00350084
46.5 0.0582566 0.000127669 0.0034954
47.5 0.0580522 0.000132253 0.00348313
48.5 0.0576944 0.000138062 0.00346166
49.5 0.0574776 0.000143623 0.00344865
50.5 0.0571834 0.000149898 0.003431
51.5 0.0566523 0.00015735 0.00339914
52.5 0.0562217 0.00016492 0.0033733
53.5 0.0556738 0.000173706 0.00334043
54.5 0.0551043 0.000183565 0.00330626
55.5 0.0544917 0.000193662 0.0032695
56.5 0.054052 0.000204753 0.00324312
57.5 0.0534242 0.000217452 0.00320545
58.5 0.0525749 0.000232528 0.0031545
59.5 0.051917 0.000247322 0.00311502
60.5 0.0513797 0.000263928 0.00308278
61.5 0.0504141 0.000284957 0.00302485
62.5 0.0493404 0.000307769 0.00296043
63.5 0.048711 0.000331735 0.00292266
64.5 0.0479415 0.000358817 0.00287649
65.5 0.0467332 0.000391746 0.00280399
66.5 0.0458028 0.000427752 0.00274817
67.5 0.0450281 0.00046735 0.00270169
68.5 0.0438749 0.000512491 0.0026325
69.5 0.0432125 0.000560465 0.00259275
70.5 0.0421967 0.000621734 0.0025318
71.5 0.0410133 0.000688887 0.0024608
72.5 0.0403321 0.000753564 0.00241993
73.5 0.0387483 0.000855712 0.0023249
74.5 0.0377832 0.000956813 0.00226699
75.5 0.0368589 0.00107443 0.00221154
76.5 0.035309 0.00121331 0.00211854
77.5 0.0341222 0.00137844 0.00204733
78.5 0.0331409 0.00156489 0.00198845
79.5 0.0321476 0.00178115 0.00192886
80.5 0.0300257 0.00212983 0.00180154
81.5 0.0298298 0.00238551 0.00178979
82.5 0.0294068 0.00265591 0.00176441
83.5 0.0281597 0.00304814 0.00168958
84.5 0.0296151 0.0032344 0.00177691
85.5 0.0275624 0.00394663 0.00165374
86.5 0.0306345 0.00405255 0.00183807
87.5 0.027401 0.00512887 0.00164406
88.5 0.0305055 0.00556565 0.00183033
89.5 0.0306057 0.0065479 0.00183634
90.5 0.032207 0.00804922 0.00193242
91.5 0.0343629 0.0102895 0.00206177
92.5 0.0394139 0.0171453 0.00236484

centrality v2{4} stat-err sys-err
5.5 0.00500517 0.0341644 0.00030031
6.5 0.0173852 0.000887024 0.00104311
7.5 0.0195894 0.000678988 0.00117536
8.5 0.0217346 0.000540803 0.00130407
9.5 0.0245692 0.000406804 0.00147415
10.5 0.0254655 0.000399564 0.00152793
11.5 0.0280177 0.000326059 0.00168106
12.5 0.0296097 0.000298104 0.00177658
13.5 0.0316573 0.000263998 0.00189944
14.5 0.033219 0.0002475 0.00199314
15.5 0.0346635 0.000234263 0.00207981
16.5 0.036061 0.000224484 0.00216366
17.5 0.0377192 0.000209403 0.00226315
18.5 0.0388253 0.000206546 0.00232952
19.5 0.0400119 0.000201712 0.00240071
20.5 0.0414145 0.000193923 0.00248487
21.5 0.0424296 0.000193137 0.00254578
22.5 0.0435792 0.000189401 0.00261475
23.5 0.0446168 0.000187885 0.00267701
24.5 0.0454394 0.000188472 0.00272636
25.5 0.0462288 0.00019014 0.00277373
26.5 0.0471839 0.000188848 0.00283103
27.5 0.0480037 0.000189517 0.00288022
28.5 0.0488 0.000190483 0.002928
29.5 0.0494798 0.000192632 0.00296879
30.5 0.0500142 0.000197483 0.00300085
31.5 0.0502137 0.000205189 0.00301282
32.5 0.0512082 0.000203627 0.00307249
33.5 0.051353 0.000212276 0.00308118
34.5 0.0519455 0.000216043 0.00311673
35.5 0.0521446 0.000223455 0.00312868
36.5 0.0524956 0.000230488 0.00314974
37.5 0.0528236 0.000237524 0.00316941
38.5 0.0530369 0.00024609 0.00318221
39.5 0.0528477 0.000262396 0.00317086
40.5 0.0534192 0.000267083 0.00320515
41.5 0.0529464 0.000288791 0.00317679
42.5 0.0533202 0.000295476 0.00319921
43.5 0.0530716 0.000317018 0.00318429
44.5 0.0527765 0.000339474 0.00316659
45.5 0.0525411 0.000362691 0.00315246
46.5 0.0523949 0.000385548 0.0031437
47.5 0.0526454 0.000401638 0.00315872
48.5 0.0515291 0.000455812 0.00309175
49.5 0.0514571 0.000484792 0.00308743
50.5 0.0512646 0.000520038 0.00307587
51.5 0.0504468 0.000580598 0.00302681
52.5 0.0489933 0.000684587 0.0029396
53.5 0.0488074 0.000739226 0.00292844
54.5 0.0479712 0.000840328 0.00287827
55.5 0.0483164 0.000887982 0.00289899
56.5 0.0460376 0.00111451 0.00276225
57.5 0.0443198 0.00135439 0.00265919
58.5 0.0417878 0.00177931 0.00250727
59.5 0.0427434 0.00181282 0.00256461
60.5 0.0447362 0.00173958 0.00268417
61.5 0.0387324 0.00297794 0.00232394
62.5 0.0385074 0.00335068 0.00231044
63.5 0.0382453 0.00386519 0.00229472
64.5 0.0343655 0.00598841 0.00206193

centrality v2{4}abab stat-err sys-err
5.5 0.014324 0.00453033 0.000859437
6.5 0.0190775 0.00197288 0.00114465
7.5 0.0181512 0.00237571 0.00108907
8.5 0.0220122 0.00137577 0.00132073
9.5 0.0246428 0.00101767 0.00147857
10.5 0.0258686 0.000913619 0.00155211
11.5 0.0282746 0.000726633 0.00169648
12.5 0.0302523 0.000616399 0.00181514
13.5 0.0320782 0.000539103 0.00192469
14.5 0.0339396 0.000474995 0.00203637
15.5 0.0345073 0.000471964 0.00207044
16.5 0.0362221 0.000425724 0.00217333
17.5 0.0382643 0.000375874 0.00229586
18.5 0.0392143 0.000366313 0.00235286
19.5 0.0398441 0.000363406 0.00239065
20.5 0.0413328 0.00033981 0.00247997
21.5 0.042559 0.000326062 0.00255354
22.5 0.0433972 0.000321545 0.00260383
23.5 0.0450862 0.000299388 0.00270517
24.5 0.0455297 0.000303745 0.00273178
25.5 0.0459183 0.000309718 0.0027551
26.5 0.0467621 0.000306454 0.00280573
27.5 0.048026 0.000295691 0.00288156
28.5 0.0489671 0.000292033 0.00293803
29.5 0.0492782 0.000299254 0.00295669
30.5 0.0499378 0.000301823 0.00299627
31.5 0.0499201 0.000315821 0.00299521
32.5 0.0510246 0.000309651 0.00306148
33.5 0.050979 0.000324615 0.00305874
34.5 0.0518656 0.000323483 0.00311193
35.5 0.0519469 0.000336872 0.00311681
36.5 0.0524173 0.000344296 0.00314504
37.5 0.0524584 0.000360914 0.0031475
38.5 0.0529684 0.000367259 0.00317811
39.5 0.0527639 0.000392897 0.00316583
40.5 0.0529324 0.000409137 0.00317594
41.5 0.0528068 0.000435095 0.00316841
42.5 0.0527934 0.000458569 0.0031676
43.5 0.0529782 0.00048125 0.00317869
44.5 0.0521443 0.00053538 0.00312866
45.5 0.0514874 0.000589844 0.00308925
46.5 0.0520199 0.000606623 0.0031212
47.5 0.0528627 0.000617492 0.00317176
48.5 0.0514153 0.000716105 0.00308492
49.5 0.0509948 0.000787376 0.00305969
50.5 0.0509057 0.000849637 0.00305434
51.5 0.049608 0.000988683 0.00297648
52.5 0.0484889 0.00115145 0.00290934
53.5 0.0474087 0.00133133 0.00284452
54.5 0.0459877 0.00159385 0.00275926
55.5 0.0463685 0.00170263 0.00278211
56.5 0.0437254 0.0022248 0.00262352
57.5 0.04386 0.0024159 0.0026316
58.5 0.0397915 0.00360442 0.00238749
59.5 0.0401272 0.00389673 0.00240763
60.5 0.0442865 0.00323558 0.00265719
61.5 0.0364614 0.00648038 0.00218769
62.5 0.0393401 0.00580812 0.0023604
63.5 0.0409318 0.00589774 0.00245591

centrality v2{4}aabb stat-err sys-err
6.5 0.0147599 0.00595662 0.000885593
7.5 0.0205693 0.00227547 0.00123416
8.5 0.0221089 0.00188843 0.00132654
9.5 0.0213475 0.00216359 0.00128085
10.5 0.0215592 0.00217653 0.00129355
11.5 0.0264575 0.00121773 0.00158745
12.5 0.0304602 0.000827045 0.00182761
13.5 0.0314325 0.000781024 0.00188595
14.5 0.0329298 0.000705347 0.00197579
15.5 0.0336251 0.000689695 0.00201751
16.5 0.036464 0.000562538 0.00218784
17.5 0.0378318 0.000522581 0.00226991
18.5 0.0387898 0.000505418 0.00232739
19.5 0.0405523 0.000460043 0.00243314
20.5 0.0415958 0.00044424 0.00249575
21.5 0.0413433 0.000472008 0.0024806
22.5 0.0435222 0.000421916 0.00261133
23.5 0.0448274 0.000402833 0.00268964
24.5 0.0453416 0.000405269 0.0027205
25.5 0.0459112 0.00040881 0.00275467
26.5 0.0473467 0.000388631 0.0028408
27.5 0.0484841 0.000378222 0.00290905
28.5 0.0487432 0.000388523 0.00292459
29.5 0.0494659 0.000388724 0.00296795
30.5 0.050318 0.000386584 0.00301908
31.5 0.0504573 0.000400905 0.00302744
32.5 0.0514829 0.000395418 0.00308897
33.5 0.0514438 0.000414939 0.00308663
34.5 0.051908 0.000424251 0.00311448
35.5 0.0521763 0.000437826 0.00313058
36.5 0.0524649 0.000451741 0.00314789
37.5 0.053058 0.000460216 0.00318348
38.5 0.0533351 0.000475392 0.0032001
39.5 0.0532519 0.000504774 0.00319512
40.5 0.0537109 0.000519918 0.00322265
41.5 0.0522908 0.000595246 0.00313745
42.5 0.0528149 0.000610458 0.00316889
43.5 0.0534839 0.000624076 0.00320904
44.5 0.0524469 0.000703271 0.00314681
45.5 0.0542608 0.000676364 0.00325565
46.5 0.051776 0.00082892 0.00310656
47.5 0.0529886 0.000827148 0.00317931
48.5 0.0521564 0.00092973 0.00312938
49.5 0.0516007 0.0010325 0.00309604
50.5 0.0522854 0.00106935 0.00313713
51.5 0.0507502 0.00126331 0.00304501
52.5 0.0490072 0.00152534 0.00294043
53.5 0.0461444 0.00198339 0.00276866
